id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
1,"A project manager is overseeing the construction of a new community
center. As the project progresses, the project manager realizes that an
upcoming deadline is likely to be missed due to delays caused by
insufficient staffing. What should the project manager do next?",Analyze the project schedule to develop a contingency plan,Consult with senior management to explore additional resource allocation,Implement overtime for the current team to catch up on the schedule,Adjust the project timeline to reflect the current staffing constraints,,1,,"When a deadline is likely to be missed due to insufficient staffing, the
project manager must first analyze the schedule to understand the full
scope of the problem and develop options before implementing corrective
actions. Schedule analysis determines which activities are affected, the
magnitude of delay, whether the critical path is impacted, and what
alternatives exist such as fast tracking, additional resources,
overtime, or timeline adjustment. Developing a contingency plan through
this analysis provides informed options with trade-offs rather than
jumping to a single solution without understanding if it will work.",,"Consulting senior management to explore additional resources jumps to
one specific solution without analyzing whether more resources will
actually resolve the delay or if other approaches like fast tracking or
schedule resequencing might be more appropriate given the specific
schedule constraints.","Implementing overtime for the current team assumes overtime will solve
the staffing problem without analyzing whether the delay is on the
critical path, if overtime is sustainable, or if it will achieve the
necessary acceleration, when overtime has diminishing returns and can
cause burnout.","Adjusting the project timeline accepts deadline failure without
attempting corrective action, when analysis might reveal recovery
options that maintain the deadline through schedule compression
techniques or other strategies that haven\'t been evaluated yet.",,760_questions.txt
2,"A project manager is assigned to lead the renovation of a local library.
The sponsor provides the project manager with an approved project
management plan and outlines the scope, business requirements,
deliverables, and stakeholders. The project manager asks to review the
project charter for a comprehensive understanding of the project. The
sponsor responds that the project is small and straightforward, so a
project charter is deemed unnecessary. What should the project manager do?","Create a detailed project scope statement and use it to guide the
project","Clarify that a project charter is critical for defining project
authority, objectives, and stakeholder alignment",Document the sponsor\'s decision and proceed without the project charter,Use the existing project management plan as the primary guiding document,,2,,"The project charter is a fundamental document that formally authorizes
the project and grants the project manager authority to use
organizational resources, regardless of project size. Without a charter,
the project manager lacks formal authority to direct resources, make
decisions, and manage the project. The charter links the project to
organizational strategy, defines high-level objectives and success
criteria, and identifies the project manager and their authority level.
The project manager must clarify this to the sponsor, explaining that
even small projects require formal authorization through a charter to
establish proper governance.","Creating a detailed scope statement addresses project scope definition
but doesn\'t resolve the lack of formal project authorization and PM
authority, as the scope statement is a planning document that assumes a
project is already authorized through the charter.",,"Documenting the sponsor\'s decision and proceeding without the charter
leaves the project manager without formal authority to use resources or
make decisions, creating governance issues and potential conflicts
regardless of project size.","Using the existing project management plan as the primary guide doesn\'t
address that the plan describes how to execute a project that hasn\'t
been formally authorized, as the charter must exist before the PM plan
to establish project legitimacy and PM authority.",,760_questions.txt
3,"A project manager is overseeing the rollout of a new software upgrade
across multiple departments. During a routine check, the project manager
notices that several critical tasks are falling behind the planned
schedule. Further investigation reveals that key software developers
have been reassigned temporarily to an urgent security patch project,
affecting their contributions to the upgrade project. Which two actions should the project manager take to address the
schedule slippage? (Choose two.)","Schedule weekly review sessions with the entire project team to ensure
alignment and accountability","Extend the project timeline to accommodate the developers\' divided
focus and reduce pressure",Communicate the impact of the delays to all stakeholders,"Coordinate with the heads of IT and security to realign the developers\'
workload priorities","Strategize with the team on methods to expedite remaining tasks without
compromising quality",,"3,4","When critical tasks fall behind due to key resources being temporarily
reassigned, the project manager must address both the resource conflict
and stakeholder awareness. Coordinating with IT and security heads to
realign workload priorities addresses the root cause by attempting to
resolve competing demands on developers, potentially freeing them to
return to the upgrade project or establishing clear priority
arrangements. Communicating delays to all stakeholders maintains
transparency about schedule impacts for a multi-department rollout where
many groups are depending on the upgrade timeline, enables stakeholders
to adjust their own plans, and may prompt stakeholder support or
alternative solutions.","Scheduling weekly review sessions provides monitoring but doesn\'t
address the resource unavailability causing delays, as meetings alone
cannot solve the problem of missing developers working on another
project.","Extending the project timeline accepts delays without attempting to
resolve the resource conflict, when the PM should first try to address
competing priorities before adjusting baselines.",,,"Strategizing to expedite remaining tasks is tactical optimization but
doesn\'t address the fundamental resource shortage or inform
stakeholders who need to know about delays affecting their departments,
and fast-tracking has limits when key developers are unavailable.",760_questions.txt
4,"A multinational corporation is implementing an agile project to enhance
its global customer service platform. For the first time, the project
utilizes a distributed team, with the design team based in the
headquarters and the development team located offshore. During the third
sprint review, the product owner raises concerns about the project
deliverables. The offshore team has reported difficulties in fully
understanding the requirements during the daily stand-up meetings. What should the project manager do to resolve this issue?","Adjust the communication strategy to ensure clarity and consistency
across all teams","Conduct a training session for the offshore team on the project\'s
design and requirements","Redefine the project scope to better accommodate the capabilities of the
offshore team","Utilize more detailed documentation and frequent check-ins to bridge the
communication gap",,1,,"When distributed teams experience communication breakdowns affecting
deliverable quality, the project manager must adjust the communication
strategy to address barriers between locations. Distributed teams face
time zone differences, cultural communication styles, and technology
limitations that daily stand-ups may not overcome. Adjusting the
communication strategy encompasses solutions like modifying meeting
times for better overlap, using visual collaboration tools, establishing
clearer requirement documentation standards, or implementing
asynchronous communication methods. This strategic approach addresses
the root cause of requirements misunderstanding across the distributed
team structure.",,"Conducting training sessions for the offshore team assumes knowledge
deficit rather than communication process problems, treating symptoms
rather than addressing how requirements are communicated across
locations in distributed agile teams.","Redefining project scope to accommodate offshore team capabilities
changes deliverables to work around communication problems rather than
fixing them, undermining project objectives when the actual issue is
requirements clarity not team capability.","Utilizing more detailed documentation and frequent check-ins is narrowly
prescriptive when the broader communication strategy needs adjustment,
and extensive documentation contradicts agile principles without
addressing whether these specific tactics suit the distributed team\'s
actual communication barriers.",,760_questions.txt
5,"A dynamic new project manager has joined an agile project for launching
a new online banking system. The newly appointed product owner proposes
some innovative features that don\'t align with the financial
institution\'s strategic objectives as laid out by the Chief Financial
Officer (CFO). The product owner, not fully aware of the strategic
mismatch, believes the CFO\'s approval isn\'t necessary at this stage. What should the project manager do?","Arrange a formal presentation for the product owner to explain the
project\'s alignment with the CFO\'s strategy",Encourage the product owner to include the CFO in strategic discussions,"Initiate a strategic review session with project stakeholders to discuss
feature implications","Update the project documentation to reflect discussions about strategic
alignment",,2,,"When the product owner proposes features misaligned with strategic
objectives and doesn\'t recognize the need for CFO involvement, the
project manager must facilitate direct engagement between the product
owner and CFO. Encouraging CFO inclusion in strategic discussions
enables the product owner to understand strategic constraints directly
from the executive setting organizational direction, prevents wasted
effort on features that won\'t be approved due to strategic
misalignment, and educates the new product owner about proper governance
and stakeholder involvement for strategic decisions. This approach
respects the product owner\'s role while ensuring strategic alignment.","Arranging a formal presentation for the product owner to explain
alignment assumes the features DO align when the question states they
don\'t, misunderstanding the problem as needing to communicate existing
alignment rather than addressing actual misalignment.",,"Initiating a strategic review session with all stakeholders is broader
than necessary when the specific issue is the product owner\'s
relationship with and understanding of the CFO\'s strategic direction,
requiring targeted engagement rather than general stakeholder review.","Updating project documentation is administrative activity that doesn\'t
resolve the strategic misalignment or educate the product owner about
CFO involvement, treating symptoms through paperwork rather than
addressing the governance and alignment issue.",,760_questions.txt
6,"A project manager is leading an agile team developing a new mobile
application. Halfway through a two-week sprint, the team expresses
uncertainty about the functionality they are developing, fearing it may
not meet user expectations. They suggest an early review rather than
waiting for the sprint review. What should the project manager do to address these concerns?","Arrange for an immediate review session with the product owner to
discuss the team\'s concerns","Encourage the team to continue their work and discuss their doubts in
the next sprint planning","Organize overtime for the team to refine the product before the
scheduled review","Wait until the sprint review to address any issues or feedback from the
product owner",,1,,"When the team expresses uncertainty about whether functionality meets
user expectations mid-sprint, the project manager should facilitate
immediate product owner review rather than waiting. Early feedback
prevents the team from spending the remaining sprint building
functionality in the wrong direction. The product owner owns the product
vision and user requirements, making them the authority to clarify
expectations and provide direction. This responsive approach aligns with
agile principles of early and continuous feedback, prevents wasted
effort, and demonstrates servant leadership by removing impediments to
team effectiveness.",,"Encouraging the team to continue and discuss doubts in next sprint
planning ignores legitimate concerns and wastes remaining sprint time
building potentially wrong functionality, when next sprint planning
occurs after the sprint review making it too late to correct the current
sprint\'s work.","Organizing overtime assumes more time will resolve the uncertainty when
the actual problem is unclear expectations, not lack of time, and
overtime doesn\'t provide the product owner guidance needed to clarify
user requirements.","Waiting until sprint review delays addressing known concerns, risks
building wrong functionality for the entire remaining sprint duration,
and ignores the team\'s reasonable request for early feedback when they
recognize a potential problem.",,760_questions.txt
7,"During a daily stand-up, a team member from an agile project focused on
software for automated manufacturing systems reports that the
software\'s critical third-party library will soon be out of support,
and transitioning to a new version would incur considerable costs. What should the project manager do next?","Analyze the feasibility and impact of upgrading to the new library
version","Consult with the financial department to evaluate the budgetary
implications of the upgrade","Investigate alternative third-party libraries that could replace the
current one","Review the project timeline to assess the potential delays caused by the
library transition",,1,,"When a critical technical issue emerges that affects project
constraints, the project manager must first conduct comprehensive
feasibility and impact analysis before pursuing solutions. This analysis
determines whether upgrading is technically feasible, assesses impacts
on budget, schedule, quality, and risk, and provides the foundation for
deciding between upgrading, finding alternatives, or other responses.
Understanding both feasibility and full impact enables informed
decision-making about the best path forward rather than jumping to
specific solutions without complete information.",,"Consulting with the financial department focuses only on budget
implications without understanding technical feasibility or impacts on
other constraints like schedule and risk, when the decision requires
comprehensive analysis beyond just cost evaluation.","Investigating alternative libraries jumps to one specific solution
without first assessing whether upgrading the current library is
feasible or whether the cost is justified, potentially wasting effort
exploring alternatives when upgrading might be the best option.","Reviewing project timeline focuses only on schedule impact without
understanding cost implications, technical feasibility, or whether the
upgrade is the best approach, providing incomplete information for
decision-making.",,760_questions.txt
8,"A project manager overseeing a transition project to integrate new
technology solutions across a company discovers that despite meeting the
set goals for the first few sprints, the stakeholders are not satisfied
with the initial outcomes presented. What should the project manager do to ensure alignment with stakeholder
expectations?",Arrange for stakeholders to have early access to review the sprint plans,Involve stakeholders in regular sprint planning and review meetings,"Plan additional sprints dedicated to adjusting features based on
stakeholder feedback",Recommend the steering committee reconsider the project\'s leadership,,2,,"When sprint goals are met but stakeholders remain unsatisfied, the
problem is disconnection between what\'s being built and stakeholder
expectations. Involving stakeholders in regular sprint planning ensures
their input shapes sprint goals and priorities, while regular review
meetings enable continuous feedback and course corrections. This active
stakeholder participation throughout the sprint cycle prevents building
the wrong features even when technically meeting sprint goals. Regular
involvement aligns with agile principles of stakeholder collaboration
and creates shared understanding of what success looks like.","Arranging early access to review sprint plans provides visibility but
keeps stakeholders passive observers rather than active participants who
can influence direction during planning when priorities are set and
expectations can be clarified.",,"Planning additional sprints for adjustments is reactive, adding work to
fix misalignment after it occurs rather than preventing problems through
continuous stakeholder involvement that ensures the right work is
planned from the start.","Recommending leadership reconsideration is extreme and doesn\'t address
the actual problem of insufficient stakeholder engagement in the agile
process, when the issue is process design not leadership capability.",,760_questions.txt
9,"A project manager is leading an agile project for developing a new
cloud-based CRM system amidst a rapidly evolving market landscape. The
project sponsor expresses concerns about staying relevant and ensuring
the project delivers the intended business benefits. What should the project manager do to adapt to market changes
effectively?","Conduct frequent stakeholder meetings to reassess project objectives and
requirements","Halt the project immediately if a significant market change undermines
the product's relevance","Regularly review and adjust the product backlog to reflect changing
business needs","Use continuous integration practices to allow for immediate adjustments
in development",,3,,"When market conditions evolve rapidly, regularly reviewing and adjusting
the product backlog ensures the project remains aligned with current
business needs. The product backlog is agile\'s primary mechanism for
managing priorities and incorporating changes. Regular refinement
sessions with the product owner evaluate whether backlog items still
deliver business value given market changes, reprioritize features based
on evolving needs, and add or remove items as market conditions shift.
This systematic approach enables continuous adaptation while maintaining
focus on highest-value work.","Conducting frequent stakeholder meetings improves communication but
doesn\'t provide the systematic mechanism for translating market changes
into adjusted priorities and work items, as meetings alone don\'t ensure
the backlog reflects current business needs.","Halting the project when significant market changes occur is extreme and
reactive, abandoning investment rather than adapting through backlog
adjustment that might pivot the product to remain relevant in changed
conditions.",,"Using continuous integration practices addresses technical code
integration frequency but doesn\'t adapt to business and market changes,
as CI is a development practice unrelated to adjusting priorities or
features based on evolving market landscape.",,760_questions.txt
10,"A project manager is working with an agile team that has just completed
their third sprint. The product owner is satisfied with the
deliverables, but the project manager has noticed some recurring
coordination issues between team members during sprint execution. The
team is preparing for their next sprint planning session. What should the project manager schedule before the next sprint
planning?","A lessons learned session to document what went well and what could be
improved","A retrospective meeting to reflect on team processes and identify
improvements","A performance review meeting to address individual team member
productivity","A risk assessment workshop to identify potential issues in upcoming
sprints",,2,,"The retrospective meeting is a core agile ceremony held at the end of
each sprint where the team reflects on their processes, collaboration,
and ways of working. The purpose is to identify what went well, what
didn\'t work, and what improvements the team can implement in the next
sprint. Retrospectives focus on continuous process improvement and team
dynamics rather than project deliverables, making them ideal for
addressing the coordination issues observed during sprint execution.","Lessons learned sessions are typically conducted at project closure or
major milestones in predictive projects, not between agile sprints where
retrospectives serve this purpose more effectively.",,"Performance reviews focus on individual accountability rather than team
process improvement and collaboration enhancement, which are the primary
goals of sprint retrospectives.","Risk assessment workshops address future threats rather than reflecting
on past sprint performance and team process improvements that
retrospectives are designed to facilitate.",,760_questions.txt
